,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
241,0.825,0.9975,0.1075,1.0,-0.99875,1.0,-0.8175,-0.9675,-0.99,-0.045
242,0.82,0.99875,0.11125,1.0,-0.99875,1.0,-0.8225,-0.9725,-0.99375,-0.04375
243,0.83,1.0,0.125,1.0,-1.0,1.0,-0.82,-0.9675,-0.9925,-0.04625
244,0.835,1.0,0.13375,1.0,-1.0,0.9975,-0.82,-0.9725,-0.99125,-0.05125
245,0.83875,1.0,0.1225,0.99875,-0.99875,1.0,-0.8175,-0.96875,-0.99625,-0.055
246,0.845,1.0,0.11,0.99875,-0.99875,0.99875,-0.8225,-0.97125,-0.99875,-0.0425
247,0.83875,0.99875,0.1225,0.99875,-0.99875,0.99875,-0.825,-0.97375,-1.0,-0.03125
248,0.8375,0.99625,0.11625,0.9975,-0.99875,1.0,-0.8325,-0.97625,-1.0,-0.0275
249,0.835,0.9975,0.10625,0.9975,-1.0,1.0,-0.8225,-0.98,-1.0,-0.0275
250,0.83375,1.0,0.11125,0.9975,-1.0,1.0,-0.825,-0.98,-1.0,-0.03375
251,0.8425,1.0,0.105,0.99625,-0.99875,1.0,-0.82375,-0.98,-0.9975,-0.035
252,0.8475,0.99875,0.11125,0.99875,-0.99875,0.99875,-0.82875,-0.9825,-0.99875,-0.04
253,0.85625,1.0,0.11125,0.99875,-0.9975,0.99875,-0.8375,-0.98625,-1.0,-0.06125
254,0.85125,0.99875,0.1125,0.99875,-0.9975,0.99875,-0.845,-0.99125,-1.0,-0.0525
